dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
unified information database on idps,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",Unified Information Database on IDPs,
unified registry,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""non_spatial"": 1}",unified registry,
unique registry of beneficiaries of social programs,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",Unique Registry of Beneficiaries of social programs,
unit cost data from kcca and unra,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",Unit cost data from KCCA and UNRA,
united nations development program (undp) human development inde,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",United Nations Development Program (UNDP) 2012 Human Development Index,
united nations food and agriculture 18,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",United Nations Food and Agriculture 18,
united nations high commissioner for refugees (unhcr) statistics,admin_linked,named area,local (ward/village/camp/kebele),unknown,1,1,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1}",United Nations High Commissioner for Refugees (UNHCR) statistics,
united nations population projections,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",United Nations population projections,
universal financial access (ufa) data portal,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Universal Financial Access (UFA) data portal,
universal health coverage (uhc) service index,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Universal Health Coverage (UHC) Service Index,
unlocking ethiopia s urban land and housing markets,admin_linked,named area,local (ward/village/camp/kebele),unknown,1,1,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1}",Unlocking Ethiopia's Urban Land and Housing Markets,
unmiss brief on violence affecting civilians,admin_linked,named area,province / region / state,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",UNMISS _Annual Brief_ _on Violence Affecting Civilians_,
unocha (united nations office for coordination of humanitarian a,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}","UNOCHA (United Nations Office for Coordination of Humanitarian Affairs). 2021. _Humanitarian Snapshot_, May 2021",
unocha humanitarian needs overview ( ),admin_linked,named area,urban / rural split,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",UNOCHA Humanitarian Needs Overview (2018),
unocha humanitarian response plan monitoring report,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""unclear"": 1}",UNOCHA Humanitarian Response Plan Monitoring Report,
unra diagnostic study,admin_linked,named area,district / sub-county,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",UNRA Diagnostic Study,
up-dated population figures from fy,admin_linked,named area,district / sub-county,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",up-dated population figures from FY 2017/18,
up-nec risk indicators,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",UP-NEC Risk Indicators,
update on refugees and asylum seekers in djibouti,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",update on refugees and asylum seekers in Djibouti,
updated household map of country,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"household or phone survey, mapped layer / geospatial product","{""point_geocoded"": 1}",updated household map of the country,
updated vulnerability map,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,mapped layer / geospatial product,"{""point_geocoded"": 1}",updated vulnerability map,
urban and housing,admin_linked,named area,urban / rural split,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",urban and housing data,
urban development grant readiness assessments,admin_linked,named area,district / sub-county,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",urban development grant readiness assessments,
urban employment unemployment survey,admin_linked,named area,urban / rural split,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""admin_linked"": 1}",2016 Urban Employment Unemployment Survey,
urban planning and land reform project feasibility study,admin_linked,named area,urban / rural split,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Urban Planning and Land Reform Project Feasibility Study,
us census bureau international,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, registry / administrative database","{""non_spatial"": 1}","US Census Bureau, International Database",
usage surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",usage surveys,
usaid climate risk profile,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,satellite / raster / index,"{""admin_linked"": 1}",USAID Climate Risk Profile,
user feedback surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, monitoring / tracking system","{""unclear"": 1}",user feedback surveys,
user satisfaction survey,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",User Satisfaction Survey,
user satisfaction survey of rtc operators,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",User satisfaction survey of RTC Operators,
user satisfaction surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, monitoring / tracking system","{""unclear"": 1}",user satisfaction surveys,
utilities and provincial regulators databases,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",Utilities and provincial regulators databases,
utility cadastre,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",utility cadastre,
utility reported data to ib-net for bih,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",utility reported data to IB-Net for BiH,
utility reports and data from commercial softwares,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Utility reports and data from commercial softwares,
utsep icr,unclear,place not stated,—,unknown,1,1,False,registry / administrative database,"{""unclear"": 1}",UTSEP ICR,
uzkad,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",UzKAD,
vacancies,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",vacancies database,
vacancy,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",vacancy database,
vaccination,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",vaccination data,
vaccine hesitancy among refugee community in lebanon and ways fo,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Vaccine Hesitancy Among the Refugee Community in Lebanon and Ways Forward,
vaccine registry,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",vaccine registry,
validation reports of studies,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Validation reports of the studies,
valuation des capacit s d accueil et de formation des coles norm,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}","Évaluation des Capacités d’Accueil et de Formation des Écoles Normales d’Instituteurs bilingues (ENIB) et des Écoles Normales Supérieures (ENS) de la République du Tchad. Rapport Technique, 2020",
value chain and enterprise surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, monitoring / tracking system","{""unclear"": 1}",value chain and enterprise surveys,
value chain and rnr enterprise surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",value chain and RNR enterprise surveys,
vat pit and customs,non_spatial,no place,—,no — aggregate,1,1,False,official statistics series,"{""non_spatial"": 1}","VAT, PIT, and Customs Data",
vehicle fleet,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Vehicle Fleet Data,
ver transaction records,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""unclear"": 1}",VER transaction records,
veraset gps,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",Veraset GPS data,
veterinary and food safety data systems,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",veterinary and food safety data systems,
vietnam household living standards survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""non_spatial"": 1}",Vietnam Household Living Standards Survey 2014,
vietnam improved land governance and database project,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",Vietnam Improved Land Governance and Database Project,
vietnam multiple indicator cluster survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""non_spatial"": 1}",Vietnam Multiple Indicator Cluster Survey 2014,
village scorecard,admin_linked,named area,local (ward/village/camp/kebele),maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",village scorecard data,
village-level household registries,admin_linked,named area,local (ward/village/camp/kebele),maybe — needs the survey's own geography,1,1,False,"household or phone survey, registry / administrative database","{""admin_linked"": 1}",Village-level household registries,
village-level scorecards,admin_linked,named area,local (ward/village/camp/kebele),maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",village-level scorecards,
village/neighborhood level registry,admin_linked,named area,local (ward/village/camp/kebele),maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",village/neighborhood level registry,
vinh river water quality,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",Vinh River water quality,
violence against children study,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"official statistics series, facility / asset / infrastructure records","{""unclear"": 1}",Violence Against Children Study,
violence against children survey (vacs) report,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Violence Against Children Survey (VACS) Report,
violence against women prevalence estimates global regional and ,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}","Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women",
violence survey in palestinian society,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""non_spatial"": 1}",Violence Survey in the Palestinian Society 2019,
visual survey of network,point_geocoded,exact point,not stated,maybe — needs the survey's own geography,1,1,False,"household or phone survey, facility / asset / infrastructure records","{""point_geocoded"": 1}",visual survey of the network,
vital health statistics,non_spatial,no place,—,unknown,1,1,False,official statistics series,"{""non_spatial"": 1}",Vital Health Statistics,
vital records information systems,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Vital Records Information Systems,
vital registration system coverage,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",vital registration system coverage,
volume counts for cyclists and motorized vehicles,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",volume counts for cyclists and motorized vehicles,
volunteer reports and outreach session attendance records,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""unclear"": 1}",Volunteer reports and outreach session attendance records,
vraf/vrat 2 0 assessment,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",VRAF/VRAT** **2.0 assessment,
vulnerability assessment for syrian refugees in lebanon,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Vulnerability Assessment for Syrian Refugees in Lebanon,
vulnerability assessment of syrian refugees in lebanon,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Vulnerability Assessment of Syrian Refugees in Lebanon,
vulnerability assessment studies,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",vulnerability assessment studies,
vulnerability index,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",vulnerability index,
waemu report,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""non_spatial"": 1}",WAEMU report,
warfp vessel monitoring system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,monitoring / tracking system,"{""point_geocoded"": 1}",WARFP vessel monitoring system,
wasreb key performance indicators,admin_linked,named area,district / sub-county,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",WASREB key performance indicators,
waste and plastics statistics,non_spatial,no place,—,unknown,1,1,False,official statistics series,"{""non_spatial"": 1}",waste and plastics statistics,
wastewater amr data points,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",wastewater AMR data points,
wastewater quality reports,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",wastewater quality reports,
water and sanitation access,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""unclear"": 1}",water and sanitation access data,
water and sanitation establishment administrative,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",Water and Sanitation Establishment administrative data,
water and sanitation establishment service coverage reports,admin_linked,named area,country only,yes — coordinates or a layer exists,1,1,False,"registry / administrative database, mapped layer / geospatial product","{""admin_linked"": 1}",Water and Sanitation Establishment service coverage reports,
water infrastructure information system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",Water Infrastructure Information System,
water level and discharge,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",water level and discharge data,
water level and discharge data from modernized hydroposts,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",Water level and discharge data from modernized hydroposts,
water quality monitoring network,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""admin_linked"": 1}",water quality monitoring network,
water quality tests of aquifers,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",water quality tests of aquifers,
water resources,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",water resources data,
water resources information system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,monitoring / tracking system,"{""point_geocoded"": 1}",water resources information system,
water resources monitoring systems,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""admin_linked"": 1}",water resources monitoring systems,
water security diagnostic for argentina,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",water security diagnostic for Argentina,
water service providers data book,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",Water Service Providers Data Book,
water utility records,admin_linked,named area,not stated,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",water utility records,
wb atlas method,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WB Atlas method,
wb covid-19 bps,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",WB COVID-19 BPS,
wb enterprise surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",WB Enterprise Surveys,
wb hci data release,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WB HCI 2020 data release,
wb world development indicators,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",WB World Development Indicators,
wb-sponsored rapid surveys,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",WB-sponsored rapid surveys,
wbdocs,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""non_spatial"": 1}",wbdocs,
wbg corporate scorecard,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WBG Corporate Scorecard,
wbg scorecard,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WBG ScoreCard,
wdi,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WDI,
wdi indicators,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",WDI indicators,
weather advisory platform,unclear,place not stated,—,yes — coordinates or a layer exists,1,1,False,"registry / administrative database, mapped layer / geospatial product","{""unclear"": 1}",weather advisory platform,
web of science,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Web of Science,
webiz (immunization) portal,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,facility / asset / infrastructure records,"{""unclear"": 1}",WebIZ (immunization) portal,
website consultant contract completion report,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Website Consultant Contract Completion Report,
wef travel & tourism development index,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WEF Travel & Tourism Development Index 2021,
wefi tourism enterprise survey,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",WeFi Tourism Enterprise Survey,
welfare monitoring survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, monitoring / tracking system","{""non_spatial"": 1}",Welfare Monitoring Survey,
welfare registry,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",Welfare Registry,
west africa climate migration report,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",West Africa Climate Migration Report,
west african examinations council,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1}",West African Examinations Council data,
wfp and unicef in-house mis,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",WFP and UNICEF in-house MIS,
wfp assessment,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WFP assessment,
wfp beneficiary lists,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",WFP beneficiary lists,
wfp food card system,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",WFP Food Card System,
wfp in-house,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",WFP in-house database,
wfp in-house mis and fsps,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",WFP in-house MIS and FSPs database,
wfp-world bank monitoring survey,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"household or phone survey, monitoring / tracking system","{""admin_linked"": 1}",WFP-World Bank monitoring survey round 1,
who,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WHO data,
who coronavirus dashboard,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""admin_linked"": 1}",WHO Coronavirus dashboard,
who estimates,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WHO estimates,
who global ambient air quality,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",WHO Global Ambient Air Quality Database,
who health for all,non_spatial,no place,—,no — aggregate,1,1,False,registry / administrative database,"{""non_spatial"": 1}",WHO Health for All database,
who readiness report,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",WHO readiness report,
who s joint external evaluation (jee),non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",the WHO’s Joint External Evaluation (JEE),
who steps,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",2018 WHO STEPS,
who/unicef joint monitoring programme,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",WHO/UNICEF Joint Monitoring Programme,
wildfire risk layers,national_spatial_derived,mapped / satellite,country only,unknown,1,1,False,mapped layer / geospatial product,"{""national_spatial_derived"": 1}",wildfire risk layers,
wim,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,facility / asset / infrastructure records,"{""point_geocoded"": 1}",WIM,
wims,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,facility / asset / infrastructure records,"{""point_geocoded"": 1}",WIMS,
withdrawal monitoring register,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",Withdrawal Monitoring Register,
women and men in bosnia and herzegovina,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""admin_linked"": 1}",Women and Men in Bosnia and Herzegovina,
women in tech index,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",2018 Women in Tech Index,
women s global sdg,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""non_spatial"": 1}",Women’s Global SDG Database,
word bank covid-19 business pulse survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Word Bank COVID-19 Business Pulse Survey,
woreda payroll,admin_linked,named area,local (ward/village/camp/kebele),maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",woreda payroll data,
world bank ( ) ethiopia employment and jobs study,non_spatial,no place,—,unknown,1,1,False,official statistics series,"{""non_spatial"": 1}",World Bank (2017). Ethiopia Employment and Jobs Study.,
world bank ( ) informing durable solutions by micro-data a skill,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",World Bank (2018) Informing Durable Solutions by Micro-data: A Skills Survey for Refugees in Ethiopia,
world bank ( ) kenya urbanization review,admin_linked,named area,urban / rural split,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",World Bank (2016). Kenya Urbanization Review,
world bank ( ) kenya women s economic empowerment scoping,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank (2020) Kenya Women’s Economic Empowerment Scoping,
world bank (wb) gender statistics,non_spatial,no place,—,unknown,1,1,False,official statistics series,"{""non_spatial"": 1}",World Bank (WB) Gender Statistics,
world bank 20172019,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank 20172019 data,
world bank analytics (women s economic empowerment in kenya p179,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}","recent World Bank analytics (Women’s Economic Empowerment in Kenya, P179827)",
world bank assessment,admin_linked,named area,province / region / state,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",2020 World Bank assessment,
world bank average exchange rate,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Average Exchange Rate,
world bank boost,non_spatial,no place,—,no — aggregate,1,1,False,registry / administrative database,"{""non_spatial"": 1}",World Bank BOOST database,
world bank bulletin board on statistical capacity,non_spatial,no place,—,unknown,1,1,False,"official statistics series, monitoring / tracking system","{""non_spatial"": 1}",the World Bank Bulletin Board on Statistical Capacity,
world bank business pulse survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",World Bank Business Pulse Survey,
world bank client connection,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Client Connection,
world bank climate change knowledge portal (cckp),national_spatial_derived,mapped / satellite,country only,yes — coordinates or a layer exists,1,1,False,satellite / raster / index,"{""national_spatial_derived"": 1}",World Bank Climate Change Knowledge Portal (CCKP),
world bank country economic monitoring 2 0 tool,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",World Bank Country Economic Monitoring 2.0 tool,
world bank country private sector diagnostic (cpsd,unclear,place not stated,—,unknown,1,1,False,registry / administrative database,"{""unclear"": 1}",The 2019 World Bank Country Private Sector Diagnostic (CPSD,
world bank country statistical information,unclear,place not stated,—,no — aggregate,1,1,False,"official statistics series, registry / administrative database","{""unclear"": 1}",World Bank 2018 Country Statistical Information Database,
world bank data development platform,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Data Development Platform,
world bank data indicators,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank data indicators,
world bank data on infrastructure costs,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank data on infrastructure costs,
world bank data portal,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Data portal,
world bank databank world development indicators,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Databank – World Development Indicators,
world bank diagnostic,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",2019 World Bank diagnostic,
world bank diagnostic of data and ict,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",World Bank diagnostic of Data and ICT,
world bank doing business (db) report,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Doing Business (DB) Report,
world bank edstats,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank EdStats,
world bank education flagship study,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Education Flagship Study,
world bank gems system,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",World Bank GEMS system,
world bank group ( ) kenya economic update from recovery to bett,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}","The World Bank Group (2021), Kenya Economic Update: From Recovery to Better Jobs",
world bank group action plan on climate change adaptation and re,unclear,place not stated,—,unknown,1,1,False,registry / administrative database,"{""unclear"": 1}",The World Bank Group Action Plan on Climate Change Adaptation and Resilience,
world bank group enterprise survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",World Bank Group Enterprise Survey,
world bank group scorecard result indicator,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",World Bank Group Scorecard Result Indicator,
world bank growth challenge can ugandan cities get to work,admin_linked,named area,not stated,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",World Bank. 2015. _The growth challenge: Can Ugandan cities get to work,
world bank health nutrition and population project,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",World Bank Health Nutrition and Population Project Data,
world bank hfps-hh,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}","World Bank HFPS-HH, 2020",
world bank human capital data portal,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Human Capital Data Portal,
world bank human capital project,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",World Bank Human Capital Project,
